[2025-06-16T09:51:33.928+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-16T09:51:33.964+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nba_etl_to_postgres.fetch_shot_chart_and_load_to_postgres manual__2025-06-16T09:40:48.983471+00:00 [queued]>
[2025-06-16T09:51:34.149+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nba_etl_to_postgres.fetch_shot_chart_and_load_to_postgres manual__2025-06-16T09:40:48.983471+00:00 [queued]>
[2025-06-16T09:51:34.150+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-06-16T09:51:34.204+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_shot_chart_and_load_to_postgres> on 2025-06-16 09:40:48.983471+00:00
[2025-06-16T09:51:34.210+0000] {standard_task_runner.py:63} INFO - Started process 1081 to run task
[2025-06-16T09:51:34.215+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nba_etl_to_postgres', 'fetch_shot_chart_and_load_to_postgres', 'manual__2025-06-16T09:40:48.983471+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmpnyiskv7r']
[2025-06-16T09:51:34.217+0000] {standard_task_runner.py:91} INFO - Job 19: Subtask fetch_shot_chart_and_load_to_postgres
[2025-06-16T09:51:34.320+0000] {task_command.py:426} INFO - Running <TaskInstance: nba_etl_to_postgres.fetch_shot_chart_and_load_to_postgres manual__2025-06-16T09:40:48.983471+00:00 [running]> on host 11d91b3c2b82
[2025-06-16T09:51:34.477+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nba_etl_to_postgres' AIRFLOW_CTX_TASK_ID='fetch_shot_chart_and_load_to_postgres' AIRFLOW_CTX_EXECUTION_DATE='2025-06-16T09:40:48.983471+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-16T09:40:48.983471+00:00'
[2025-06-16T09:51:34.478+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-16T09:51:34.505+0000] {logging_mixin.py:188} WARNING - /opt/***/dags/etl_pipeline.py:147 UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
[2025-06-16T09:51:38.485+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-22 between BOS and NYK.
[2025-06-16T09:51:44.367+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-22 between LAL and MIN.
[2025-06-16T09:51:51.586+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between DET and IND.
[2025-06-16T09:51:58.499+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between ATL and BRK.
[2025-06-16T09:52:05.617+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between MIA and ORL.
[2025-06-16T09:52:12.363+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between PHI and MIL.
[2025-06-16T09:52:18.230+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between TOR and CLE.
