[2025-06-19T14:40:05.633+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-19T14:40:05.674+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nba_etl_to_postgres.fetch_shot_chart_and_load_to_postgres manual__2025-06-19T11:59:25.818685+00:00 [queued]>
[2025-06-19T14:40:05.892+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nba_etl_to_postgres.fetch_shot_chart_and_load_to_postgres manual__2025-06-19T11:59:25.818685+00:00 [queued]>
[2025-06-19T14:40:05.893+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2025-06-19T14:40:05.938+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_shot_chart_and_load_to_postgres> on 2025-06-19 11:59:25.818685+00:00
[2025-06-19T14:40:05.946+0000] {standard_task_runner.py:63} INFO - Started process 4414 to run task
[2025-06-19T14:40:05.952+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nba_etl_to_postgres', 'fetch_shot_chart_and_load_to_postgres', 'manual__2025-06-19T11:59:25.818685+00:00', '--job-id', '131', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmpq64t66s9']
[2025-06-19T14:40:05.954+0000] {standard_task_runner.py:91} INFO - Job 131: Subtask fetch_shot_chart_and_load_to_postgres
[2025-06-19T14:40:06.061+0000] {task_command.py:426} INFO - Running <TaskInstance: nba_etl_to_postgres.fetch_shot_chart_and_load_to_postgres manual__2025-06-19T11:59:25.818685+00:00 [running]> on host 11d91b3c2b82
[2025-06-19T14:40:06.227+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nba_etl_to_postgres' AIRFLOW_CTX_TASK_ID='fetch_shot_chart_and_load_to_postgres' AIRFLOW_CTX_EXECUTION_DATE='2025-06-19T11:59:25.818685+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-19T11:59:25.818685+00:00'
[2025-06-19T14:40:06.229+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-19T14:40:06.256+0000] {logging_mixin.py:188} WARNING - /opt/***/dags/etl_pipeline.py:160 UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
[2025-06-19T14:40:10.404+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-22 between BOS and NYK.
[2025-06-19T14:40:17.686+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-22 between LAL and MIN.
[2025-06-19T14:40:24.852+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between DET and IND.
[2025-06-19T14:40:32.145+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between ATL and BRK.
[2025-06-19T14:40:37.930+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between MIA and ORL.
[2025-06-19T14:40:44.844+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between PHI and MIL.
[2025-06-19T14:40:51.708+0000] {logging_mixin.py:188} INFO - Processed game on 2024-10-23 between TOR and CLE.
