[2025-06-21T10:37:55.935+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-21T10:37:55.967+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T10:27:30.858312+00:00 [queued]>
[2025-06-21T10:37:56.115+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T10:27:30.858312+00:00 [queued]>
[2025-06-21T10:37:56.116+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-06-21T10:37:56.173+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_shot_chart_and_load_to_stage> on 2025-06-21 10:27:30.858312+00:00
[2025-06-21T10:37:56.180+0000] {standard_task_runner.py:63} INFO - Started process 1373 to run task
[2025-06-21T10:37:56.184+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nba_etl_to_staging', 'fetch_shot_chart_and_load_to_stage', 'manual__2025-06-21T10:27:30.858312+00:00', '--job-id', '409', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmp2rn9sp6v']
[2025-06-21T10:37:56.185+0000] {standard_task_runner.py:91} INFO - Job 409: Subtask fetch_shot_chart_and_load_to_stage
[2025-06-21T10:37:56.266+0000] {task_command.py:426} INFO - Running <TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T10:27:30.858312+00:00 [running]> on host 5ea278fdf3a6
[2025-06-21T10:37:56.415+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nba_etl_to_staging' AIRFLOW_CTX_TASK_ID='fetch_shot_chart_and_load_to_stage' AIRFLOW_CTX_EXECUTION_DATE='2025-06-21T10:27:30.858312+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-21T10:27:30.858312+00:00'
[2025-06-21T10:37:56.417+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-21T10:37:56.443+0000] {logging_mixin.py:188} WARNING - /opt/***/dags/etl_pipeline.py:174 UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
[2025-06-21T10:38:00.422+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-22 between BOS and NYK.
[2025-06-21T10:38:07.224+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-22 between LAL and MIN.
[2025-06-21T10:38:15.203+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between DET and IND.
[2025-06-21T10:38:22.104+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between ATL and BRK.
[2025-06-21T10:38:28.897+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between MIA and ORL.
[2025-06-21T10:38:35.784+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between PHI and MIL.
[2025-06-21T10:38:42.434+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between TOR and CLE.
