[2025-06-21T13:11:37.813+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-21T13:11:37.852+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T10:27:30.858312+00:00 [queued]>
[2025-06-21T13:11:38.287+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T10:27:30.858312+00:00 [queued]>
[2025-06-21T13:11:38.287+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2025-06-21T13:11:38.512+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_shot_chart_and_load_to_stage> on 2025-06-21 10:27:30.858312+00:00
[2025-06-21T13:11:38.518+0000] {standard_task_runner.py:63} INFO - Started process 2988 to run task
[2025-06-21T13:11:38.523+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nba_etl_to_staging', 'fetch_shot_chart_and_load_to_stage', 'manual__2025-06-21T10:27:30.858312+00:00', '--job-id', '444', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmpk74ld1h_']
[2025-06-21T13:11:38.524+0000] {standard_task_runner.py:91} INFO - Job 444: Subtask fetch_shot_chart_and_load_to_stage
[2025-06-21T13:11:38.685+0000] {task_command.py:426} INFO - Running <TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T10:27:30.858312+00:00 [running]> on host 5ea278fdf3a6
[2025-06-21T13:11:39.108+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nba_etl_to_staging' AIRFLOW_CTX_TASK_ID='fetch_shot_chart_and_load_to_stage' AIRFLOW_CTX_EXECUTION_DATE='2025-06-21T10:27:30.858312+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-21T10:27:30.858312+00:00'
[2025-06-21T13:11:39.110+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-21T13:11:39.140+0000] {logging_mixin.py:188} WARNING - /opt/***/dags/etl_pipeline.py:174 UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
[2025-06-21T13:11:43.658+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-22 between BOS and NYK.
[2025-06-21T13:11:50.529+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-22 between LAL and MIN.
[2025-06-21T13:11:57.441+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between DET and IND.
[2025-06-21T13:12:04.687+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between ATL and BRK.
[2025-06-21T13:12:11.628+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between MIA and ORL.
[2025-06-21T13:12:18.608+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between PHI and MIL.
[2025-06-21T13:12:25.515+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between TOR and CLE.
