[2025-06-21T18:23:59.750+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-21T18:23:59.786+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T18:11:57.608096+00:00 [queued]>
[2025-06-21T18:24:00.058+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T18:11:57.608096+00:00 [queued]>
[2025-06-21T18:24:00.058+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-06-21T18:24:00.341+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_shot_chart_and_load_to_stage> on 2025-06-21 18:11:57.608096+00:00
[2025-06-21T18:24:00.348+0000] {standard_task_runner.py:63} INFO - Started process 6098 to run task
[2025-06-21T18:24:00.352+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nba_etl_to_staging', 'fetch_shot_chart_and_load_to_stage', 'manual__2025-06-21T18:11:57.608096+00:00', '--job-id', '448', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmpqph7pla4']
[2025-06-21T18:24:00.354+0000] {standard_task_runner.py:91} INFO - Job 448: Subtask fetch_shot_chart_and_load_to_stage
[2025-06-21T18:24:00.484+0000] {task_command.py:426} INFO - Running <TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T18:11:57.608096+00:00 [running]> on host 5ea278fdf3a6
[2025-06-21T18:24:00.706+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nba_etl_to_staging' AIRFLOW_CTX_TASK_ID='fetch_shot_chart_and_load_to_stage' AIRFLOW_CTX_EXECUTION_DATE='2025-06-21T18:11:57.608096+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-21T18:11:57.608096+00:00'
[2025-06-21T18:24:00.707+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-21T18:24:00.814+0000] {logging_mixin.py:188} WARNING - /opt/***/dags/etl_pipeline.py:174 UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
[2025-06-21T18:24:05.305+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-22 between BOS and NYK.
[2025-06-21T18:24:11.983+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-22 between LAL and MIN.
[2025-06-21T18:24:18.889+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between DET and IND.
[2025-06-21T18:24:25.700+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between ATL and BRK.
[2025-06-21T18:24:32.600+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between MIA and ORL.
[2025-06-21T18:24:39.408+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between PHI and MIL.
[2025-06-21T18:24:45.997+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between TOR and CLE.
[2025-06-21T18:24:52.924+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between HOU and CHO.
[2025-06-21T18:24:59.552+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between NOP and CHI.
[2025-06-21T18:25:06.299+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between UTA and MEM.
[2025-06-21T18:25:13.192+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between LAC and PHO.
[2025-06-21T18:25:20.149+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-23 between POR and GSW.
[2025-06-21T18:25:27.731+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-24 between WAS and BOS.
[2025-06-21T18:25:34.726+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-24 between DAL and SAS.
[2025-06-21T18:25:41.386+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-24 between DEN and OKC.
[2025-06-21T18:25:48.072+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-24 between SAC and MIN.
[2025-06-21T18:25:54.856+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between ORL and BRK.
[2025-06-21T18:26:01.823+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between TOR and PHI.
[2025-06-21T18:26:08.566+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between ATL and CHO.
[2025-06-21T18:26:15.400+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between CLE and DET.
[2025-06-21T18:26:21.980+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between NYK and IND.
[2025-06-21T18:26:28.603+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between HOU and MEM.
[2025-06-21T18:26:35.387+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between MIL and CHI.
[2025-06-21T18:26:42.189+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between UTA and GSW.
[2025-06-21T18:26:48.877+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between LAL and PHO.
[2025-06-21T18:26:55.465+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-25 between POR and NOP.
[2025-06-21T18:27:02.399+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between DEN and LAC.
[2025-06-21T18:27:09.187+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between CHO and MIA.
[2025-06-21T18:27:15.854+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between DET and BOS.
[2025-06-21T18:27:22.679+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between WAS and CLE.
[2025-06-21T18:27:29.413+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between CHI and OKC.
[2025-06-21T18:27:36.150+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between MEM and ORL.
[2025-06-21T18:27:42.723+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between MIN and TOR.
[2025-06-21T18:27:49.360+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between SAS and HOU.
[2025-06-21T18:27:56.002+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between PHO and DAL.
[2025-06-21T18:28:02.843+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-26 between LAL and SAC.
[2025-06-21T18:28:09.691+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between IND and PHI.
[2025-06-21T18:28:16.280+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between BRK and MIL.
[2025-06-21T18:28:23.104+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between POR and NOP.
[2025-06-21T18:28:29.857+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between OKC and ATL.
[2025-06-21T18:28:36.777+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-27 between GSW and LAC.
[2025-06-21T18:28:43.653+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between ORL and IND.
[2025-06-21T18:28:50.386+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between ATL and WAS.
[2025-06-21T18:28:57.127+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between BOS and MIL.
[2025-06-21T18:29:03.754+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between MIA and DET.
[2025-06-21T18:29:10.482+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between NYK and CLE.
[2025-06-21T18:29:17.333+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between TOR and DEN.
[2025-06-21T18:29:24.195+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between MEM and CHI.
[2025-06-21T18:29:30.943+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between SAS and HOU.
[2025-06-21T18:29:37.534+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between DAL and UTA.
[2025-06-21T18:29:44.239+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between PHO and LAL.
[2025-06-21T18:29:51.091+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-28 between SAC and POR.
[2025-06-21T18:29:57.846+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between BRK and DEN.
[2025-06-21T18:30:04.458+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between MIN and DAL.
[2025-06-21T18:30:11.254+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between UTA and SAC.
[2025-06-21T18:30:17.924+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-29 between GSW and NOP.
[2025-06-21T18:30:25.097+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CHO and TOR.
[2025-06-21T18:30:31.860+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CLE and LAL.
[2025-06-21T18:30:38.531+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between IND and BOS.
[2025-06-21T18:30:45.367+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between PHI and DET.
[2025-06-21T18:30:52.104+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between WAS and ATL.
[2025-06-21T18:30:58.696+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between MIA and NYK.
[2025-06-21T18:31:05.328+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between CHI and ORL.
[2025-06-21T18:31:12.088+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between MEM and BRK.
[2025-06-21T18:31:18.793+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between OKC and SAS.
[2025-06-21T18:31:25.426+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between GSW and NOP.
[2025-06-21T18:31:32.126+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-30 between LAC and POR.
[2025-06-21T18:31:39.268+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between MEM and MIL.
[2025-06-21T18:31:45.884+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between DAL and HOU.
[2025-06-21T18:31:52.571+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between UTA and SAS.
[2025-06-21T18:31:59.271+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-10-31 between LAC and PHO.
[2025-06-21T18:32:06.448+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between CHO and BOS.
[2025-06-21T18:32:13.038+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between CLE and ORL.
[2025-06-21T18:32:19.906+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between DET and NYK.
[2025-06-21T18:32:26.890+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between ATL and SAC.
[2025-06-21T18:32:33.629+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between BRK and CHI.
[2025-06-21T18:32:40.366+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between TOR and LAL.
[2025-06-21T18:32:46.991+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between NOP and IND.
[2025-06-21T18:32:53.782+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between MIN and DEN.
[2025-06-21T18:33:00.481+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-01 between POR and OKC.
[2025-06-21T18:33:07.547+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between CHO and BOS.
[2025-06-21T18:33:14.174+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between PHI and MEM.
[2025-06-21T18:33:20.868+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between TOR and SAC.
[2025-06-21T18:33:27.623+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between HOU and GSW.
[2025-06-21T18:33:34.285+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between MIL and CLE.
[2025-06-21T18:33:41.067+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between SAS and MIN.
[2025-06-21T18:33:47.832+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between WAS and MIA.
