[2025-06-21T22:42:44.067+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-21T22:42:44.103+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T22:31:58.104907+00:00 [queued]>
[2025-06-21T22:42:44.401+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T22:31:58.104907+00:00 [queued]>
[2025-06-21T22:42:44.402+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-06-21T22:42:44.476+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): fetch_shot_chart_and_load_to_stage> on 2025-06-21 22:31:58.104907+00:00
[2025-06-21T22:42:44.483+0000] {standard_task_runner.py:63} INFO - Started process 1694 to run task
[2025-06-21T22:42:44.487+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'nba_etl_to_staging', 'fetch_shot_chart_and_load_to_stage', 'manual__2025-06-21T22:31:58.104907+00:00', '--job-id', '517', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmp1dyomsp4']
[2025-06-21T22:42:44.489+0000] {standard_task_runner.py:91} INFO - Job 517: Subtask fetch_shot_chart_and_load_to_stage
[2025-06-21T22:42:44.688+0000] {task_command.py:426} INFO - Running <TaskInstance: nba_etl_to_staging.fetch_shot_chart_and_load_to_stage manual__2025-06-21T22:31:58.104907+00:00 [running]> on host 5ea278fdf3a6
[2025-06-21T22:42:44.913+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nba_etl_to_staging' AIRFLOW_CTX_TASK_ID='fetch_shot_chart_and_load_to_stage' AIRFLOW_CTX_EXECUTION_DATE='2025-06-21T22:31:58.104907+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-21T22:31:58.104907+00:00'
[2025-06-21T22:42:44.916+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-06-21T22:42:44.941+0000] {logging_mixin.py:188} WARNING - /opt/***/dags/etl_pipeline.py:184 UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
[2025-06-21T22:42:49.567+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-22 between BOS and NYK.
[2025-06-21T22:42:56.026+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-22 between LAL and MIN.
[2025-06-21T22:43:02.528+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-23 between DET and IND.
[2025-06-21T22:43:09.131+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-23 between ATL and BRK.
[2025-06-21T22:43:15.587+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-23 between MIA and ORL.
[2025-06-21T22:43:23.166+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-23 between PHI and MIL.
[2025-06-21T22:43:29.596+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-10-23 between TOR and CLE.
