Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team
1.0,Trae Young,26.0,PG,76,76,36.0,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.7,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,,ATL
2.0,Jalen Johnson,23.0,SF,36,36,35.7,7.5,15.1,0.5,1.2,3.9,0.312,6.3,11.1,0.566,0.541,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,ATL
3.0,Dyson Daniels,21.0,SG,76,76,33.8,6.0,12.1,0.493,1.1,3.1,0.34,4.9,9.1,0.545,0.536,1.1,1.8,0.593,1.6,4.3,5.9,4.4,3.0,0.7,2.0,2.3,14.1,,ATL
4.0,De'Andre Hunter,27.0,SF,37,4,28.8,6.1,13.3,0.461,2.6,6.7,0.393,3.5,6.6,0.531,0.56,4.1,4.8,0.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,,ATL
5.0,Onyeka Okongwu,24.0,C,74,40,27.9,5.2,9.2,0.567,0.6,2.0,0.324,4.6,7.2,0.634,0.602,2.2,2.9,0.759,3.0,5.9,8.9,2.3,0.9,0.9,1.2,2.6,13.4,,ATL
6.0,Jacob Toppin,24.0,SF,1,0,27.0,6.0,12.0,0.5,5.0,8.0,0.625,1.0,4.0,0.25,0.708,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,17.0,,ATL
7.0,Caris LeVert,30.0,SG,26,0,26.6,5.6,11.6,0.482,1.8,5.2,0.338,3.8,6.3,0.6,0.558,2.0,2.8,0.722,0.7,3.0,3.7,2.9,0.9,0.5,1.0,2.0,14.9,,ATL
8.0,Bogdan Bogdanović,32.0,SG,24,0,24.9,3.5,9.3,0.371,1.8,6.1,0.301,1.6,3.3,0.5,0.469,1.3,1.4,0.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,,ATL
9.0,Zaccharie Risacher,19.0,SF,75,73,24.6,4.8,10.4,0.458,1.6,4.6,0.355,3.1,5.8,0.54,0.537,1.4,2.0,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2.0,12.6,,ATL
10.0,Georges Niang,31.0,PF,28,2,23.0,4.3,9.7,0.441,2.7,6.6,0.413,1.6,3.1,0.5,0.581,0.8,1.0,0.793,0.5,2.5,3.0,1.6,0.4,0.3,1.2,2.6,12.1,,ATL
