NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,team
11,Trae Young,PG,6-1,164.0,1998-09-19,US US,6,Oklahoma,WAS
5,Dyson Daniels,SG,6-8,199.0,2003-03-17,AU AU,2,,WAS
10,Zaccharie Risacher,SF,6-8,200.0,2005-04-08,ES ES,R,,WAS
17,Onyeka Okongwu,C,6-8,235.0,2000-12-11,US US,4,USC,WAS
27,Vit Krejci,PG,6-8,195.0,2000-06-19,CZ CZ,3,,WAS
15,Clint Capela,C,6-10,240.0,1994-05-18,CH CH,10,,WAS
24,Garrison Mathews,SG,6-5,215.0,1996-10-24,US US,5,Lipscomb,WAS
1,Jalen Johnson,SF,6-9,220.0,2001-12-18,US US,3,Duke,WAS
0,Dominick Barlow,SF,6-9,221.0,2003-05-26,US US,2,,WAS
18,Mouhamed Gueye,PF,6-11,210.0,2002-11-09,SN SN,1,Washington State,WAS
2,Keaton Wallace (TW),PG,6-3,195.0,1999-02-26,US US,R,Texas-San Antonio,WAS
14,Terance Mann,SG,6-5,215.0,1996-10-18,US US,5,Florida State,WAS
20,Georges Niang,PF,6-7,230.0,1993-06-17,US US,8,Iowa State,WAS
3,Caris LeVert,SG,6-6,205.0,1994-08-25,US US,8,Michigan,WAS
22,Larry Nance Jr.,PF,6-8,245.0,1993-01-01,US US,9,Wyoming,WAS
4,Kobe Bufkin,SG,6-4,195.0,2003-09-21,US US,1,Michigan,WAS
29,Daeqwon Plowden (TW),SG,6-6,215.0,1998-08-29,US US,R,Bowling Green,WAS
0,Jacob Toppin (TW),SF,6-9,205.0,2000-05-08,US US,1,"Rhode Island, Kentucky",WAS
11,Payton Pritchard,PG,6-1,195.0,1998-01-28,US US,4,Oregon,WAS
9,Derrick White,SG,6-4,190.0,1994-07-02,US US,7,"Colorado-Colorado Springs, Colorado",WAS
40,Luke Kornet,C,7-2,250.0,1995-07-15,US US,7,Vanderbilt,WAS
0,Jayson Tatum,PF,6-8,210.0,1998-03-03,US US,7,Duke,WAS
30,Sam Hauser,PF,6-8,215.0,1997-12-08,US US,3,"Marquette, Virginia",WAS
