home_team,away_team,date,arena,city,state,game_type
BOS,NYK,2024-10-22,TD Garden,Boston,MA,Regular Season
LAL,MIN,2024-10-22,Crypto.com Arena,Los Angeles,CA,Regular Season
DET,IND,2024-10-23,Little Caesars Arena,Detroit,MI,Regular Season
ATL,BRK,2024-10-23,State Farm Arena,Atlanta,GA,Regular Season
MIA,ORL,2024-10-23,Kaseya Center,Miami,FL,Regular Season
PHI,MIL,2024-10-23,Wells Fargo Center,Philadelphia,PA,Regular Season
TOR,CLE,2024-10-23,Scotiabank Arena,Toronto,ON,Regular Season
HOU,CHO,2024-10-23,Toyota Center,Houston,TX,Regular Season
NOP,CHI,2024-10-23,Smoothie King Center,New Orleans,LA,Regular Season
UTA,MEM,2024-10-23,Delta Center,Salt Lake City,UT,Regular Season
LAC,PHO,2024-10-23,Intuit Dome,Inglewood,CA,Regular Season
POR,GSW,2024-10-23,Moda Center,Portland,OR,Regular Season
WAS,BOS,2024-10-24,Capital One Arena,Washington,DC,Regular Season
DAL,SAS,2024-10-24,American Airlines Center,Dallas,TX,Regular Season
DEN,OKC,2024-10-24,Ball Arena,Denver,CO,Regular Season
SAC,MIN,2024-10-24,Golden 1 Center,Sacramento,CA,Regular Season
ORL,BRK,2024-10-25,Kia Center,Orlando,FL,Regular Season
TOR,PHI,2024-10-25,Scotiabank Arena,Toronto,ON,Regular Season
ATL,CHO,2024-10-25,State Farm Arena,Atlanta,GA,Regular Season
CLE,DET,2024-10-25,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
NYK,IND,2024-10-25,Madison Square Garden,New York,NY,Regular Season
HOU,MEM,2024-10-25,Toyota Center,Houston,TX,Regular Season
MIL,CHI,2024-10-25,Fiserv Forum,Milwaukee,WI,Regular Season
UTA,GSW,2024-10-25,Delta Center,Salt Lake City,UT,Regular Season
LAL,PHO,2024-10-25,Crypto.com Arena,Los Angeles,CA,Regular Season
POR,NOP,2024-10-25,Moda Center,Portland,OR,Regular Season
DEN,LAC,2024-10-26,Ball Arena,Denver,CO,Regular Season
CHO,MIA,2024-10-26,Spectrum Center,Charlotte,NC,Regular Season
DET,BOS,2024-10-26,Little Caesars Arena,Detroit,MI,Regular Season
WAS,CLE,2024-10-26,Capital One Arena,Washington,DC,Regular Season
CHI,OKC,2024-10-26,United Center,Chicago,IL,Regular Season
MEM,ORL,2024-10-26,FedExForum,Memphis,TN,Regular Season
MIN,TOR,2024-10-26,Target Center,Minneapolis,MN,Regular Season
SAS,HOU,2024-10-26,Frost Bank Center,San Antonio,TX,Regular Season
PHO,DAL,2024-10-26,Footprint Center,Phoenix,AZ,Regular Season
LAL,SAC,2024-10-26,Crypto.com Arena,Los Angeles,CA,Regular Season
IND,PHI,2024-10-27,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
BRK,MIL,2024-10-27,Barclays Center,Brooklyn,NY,Regular Season
POR,NOP,2024-10-27,Moda Center,Portland,OR,Regular Season
OKC,ATL,2024-10-27,Paycom Center,Oklahoma City,OK,Regular Season
GSW,LAC,2024-10-27,Chase Center,San Francisco,CA,Regular Season
ORL,IND,2024-10-28,Kia Center,Orlando,FL,Regular Season
ATL,WAS,2024-10-28,State Farm Arena,Atlanta,GA,Regular Season
BOS,MIL,2024-10-28,TD Garden,Boston,MA,Regular Season
MIA,DET,2024-10-28,Kaseya Center,Miami,FL,Regular Season
NYK,CLE,2024-10-28,Madison Square Garden,New York,NY,Regular Season
TOR,DEN,2024-10-28,Scotiabank Arena,Toronto,ON,Regular Season
MEM,CHI,2024-10-28,FedExForum,Memphis,TN,Regular Season
SAS,HOU,2024-10-28,Frost Bank Center,San Antonio,TX,Regular Season
DAL,UTA,2024-10-28,American Airlines Center,Dallas,TX,Regular Season
PHO,LAL,2024-10-28,Footprint Center,Phoenix,AZ,Regular Season
SAC,POR,2024-10-28,Golden 1 Center,Sacramento,CA,Regular Season
BRK,DEN,2024-10-29,Barclays Center,Brooklyn,NY,Regular Season
MIN,DAL,2024-10-29,Target Center,Minneapolis,MN,Regular Season
UTA,SAC,2024-10-29,Delta Center,Salt Lake City,UT,Regular Season
GSW,NOP,2024-10-29,Chase Center,San Francisco,CA,Regular Season
CHO,TOR,2024-10-30,Spectrum Center,Charlotte,NC,Regular Season
CLE,LAL,2024-10-30,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
IND,BOS,2024-10-30,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
PHI,DET,2024-10-30,Wells Fargo Center,Philadelphia,PA,Regular Season
WAS,ATL,2024-10-30,Capital One Arena,Washington,DC,Regular Season
MIA,NYK,2024-10-30,Kaseya Center,Miami,FL,Regular Season
CHI,ORL,2024-10-30,United Center,Chicago,IL,Regular Season
MEM,BRK,2024-10-30,FedExForum,Memphis,TN,Regular Season
OKC,SAS,2024-10-30,Paycom Center,Oklahoma City,OK,Regular Season
GSW,NOP,2024-10-30,Chase Center,San Francisco,CA,Regular Season
LAC,POR,2024-10-30,Intuit Dome,Inglewood,CA,Regular Season
MEM,MIL,2024-10-31,FedExForum,Memphis,TN,Regular Season
DAL,HOU,2024-10-31,American Airlines Center,Dallas,TX,Regular Season
UTA,SAS,2024-10-31,Delta Center,Salt Lake City,UT,Regular Season
LAC,PHO,2024-10-31,Intuit Dome,Inglewood,CA,Regular Season
CHO,BOS,2024-11-01,Spectrum Center,Charlotte,NC,Regular Season
CLE,ORL,2024-11-01,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
DET,NYK,2024-11-01,Little Caesars Arena,Detroit,MI,Regular Season
ATL,SAC,2024-11-01,State Farm Arena,Atlanta,GA,Regular Season
BRK,CHI,2024-11-01,Barclays Center,Brooklyn,NY,Regular Season
TOR,LAL,2024-11-01,Scotiabank Arena,Toronto,ON,Regular Season
NOP,IND,2024-11-01,Smoothie King Center,New Orleans,LA,Regular Season
MIN,DEN,2024-11-01,Target Center,Minneapolis,MN,Regular Season
POR,OKC,2024-11-01,Moda Center,Portland,OR,Regular Season
CHO,BOS,2024-11-02,Spectrum Center,Charlotte,NC,Regular Season
PHI,MEM,2024-11-02,Wells Fargo Center,Philadelphia,PA,Regular Season
TOR,SAC,2024-11-02,Scotiabank Arena,Toronto,ON,Regular Season
HOU,GSW,2024-11-02,Toyota Center,Houston,TX,Regular Season
MIL,CLE,2024-11-02,Fiserv Forum,Milwaukee,WI,Regular Season
SAS,MIN,2024-11-02,Frost Bank Center,San Antonio,TX,Regular Season
WAS,MIA,2024-11-02,Arena CDMX,Mexico City,MX,NBA Mexico City Game
DEN,UTA,2024-11-02,Ball Arena,Denver,CO,Regular Season
PHO,POR,2024-11-02,Footprint Center,Phoenix,AZ,Regular Season
LAC,OKC,2024-11-02,Intuit Dome,Inglewood,CA,Regular Season
BRK,DET,2024-11-03,Barclays Center,Brooklyn,NY,Regular Season
NOP,ATL,2024-11-03,Smoothie King Center,New Orleans,LA,Regular Season
DAL,ORL,2024-11-03,American Airlines Center,Dallas,TX,Regular Season
CLE,MIL,2024-11-04,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
WAS,GSW,2024-11-04,Capital One Arena,Washington,DC,Regular Season
DET,LAL,2024-11-04,Little Caesars Arena,Detroit,MI,Regular Season
ATL,BOS,2024-11-04,State Farm Arena,Atlanta,GA,Regular Season
BRK,MEM,2024-11-04,Barclays Center,Brooklyn,NY,Regular Season
MIA,SAC,2024-11-04,Kaseya Center,Miami,FL,Regular Season
CHI,UTA,2024-11-04,United Center,Chicago,IL,Regular Season
HOU,NYK,2024-11-04,Toyota Center,Houston,TX,Regular Season
MIN,CHO,2024-11-04,Target Center,Minneapolis,MN,Regular Season
OKC,ORL,2024-11-04,Paycom Center,Oklahoma City,OK,Regular Season
NOP,POR,2024-11-04,Smoothie King Center,New Orleans,LA,Regular Season
DAL,IND,2024-11-04,American Airlines Center,Dallas,TX,Regular Season
DEN,TOR,2024-11-04,Ball Arena,Denver,CO,Regular Season
PHO,PHI,2024-11-04,Footprint Center,Phoenix,AZ,Regular Season
LAC,SAS,2024-11-04,Intuit Dome,Inglewood,CA,Regular Season
CHO,DET,2024-11-06,Spectrum Center,Charlotte,NC,Regular Season
IND,ORL,2024-11-06,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ATL,NYK,2024-11-06,State Farm Arena,Atlanta,GA,Regular Season
BOS,GSW,2024-11-06,TD Garden,Boston,MA,Regular Season
HOU,SAS,2024-11-06,Toyota Center,Houston,TX,Regular Season
MEM,LAL,2024-11-06,FedExForum,Memphis,TN,Regular Season
NOP,CLE,2024-11-06,Smoothie King Center,New Orleans,LA,Regular Season
DAL,CHI,2024-11-06,American Airlines Center,Dallas,TX,Regular Season
DEN,OKC,2024-11-06,Ball Arena,Denver,CO,Regular Season
PHO,MIA,2024-11-06,Footprint Center,Phoenix,AZ,Regular Season
LAC,PHI,2024-11-06,Intuit Dome,Inglewood,CA,Regular Season
SAC,TOR,2024-11-06,Golden 1 Center,Sacramento,CA,Regular Season
CHI,MIN,2024-11-07,United Center,Chicago,IL,Regular Season
MIL,UTA,2024-11-07,Fiserv Forum,Milwaukee,WI,Regular Season
SAS,POR,2024-11-07,Frost Bank Center,San Antonio,TX,Regular Season
CHO,IND,2024-11-08,Spectrum Center,Charlotte,NC,Regular Season
DET,ATL,2024-11-08,Little Caesars Arena,Detroit,MI,Regular Season
ORL,NOP,2024-11-08,Kia Center,Orlando,FL,Regular Season
BOS,BRK,2024-11-08,TD Garden,Boston,MA,Regular Season
CLE,GSW,2024-11-08,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
NYK,MIL,2024-11-08,Madison Square Garden,New York,NY,Regular Season
DAL,PHO,2024-11-08,American Airlines Center,Dallas,TX,Regular Season
MEM,WAS,2024-11-08,FedExForum,Memphis,TN,Regular Season
OKC,HOU,2024-11-08,Paycom Center,Oklahoma City,OK,Regular Season
MIN,POR,2024-11-08,Target Center,Minneapolis,MN,Regular Season
DEN,MIA,2024-11-08,Ball Arena,Denver,CO,Regular Season
LAL,PHI,2024-11-08,Crypto.com Arena,Los Angeles,CA,Regular Season
SAC,LAC,2024-11-08,Golden 1 Center,Sacramento,CA,Regular Season
SAS,UTA,2024-11-09,Frost Bank Center,San Antonio,TX,Regular Season
ATL,CHI,2024-11-09,State Farm Arena,Atlanta,GA,Regular Season
CLE,BRK,2024-11-09,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
LAC,TOR,2024-11-09,Intuit Dome,Inglewood,CA,Regular Season
DET,HOU,2024-11-10,Little Caesars Arena,Detroit,MI,Regular Season
MIL,BOS,2024-11-10,Fiserv Forum,Milwaukee,WI,Regular Season
IND,NYK,2024-11-10,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
ORL,WAS,2024-11-10,Kia Center,Orlando,FL,Regular Season
PHI,CHO,2024-11-10,Wells Fargo Center,Philadelphia,PA,Regular Season
MIN,MIA,2024-11-10,Target Center,Minneapolis,MN,Regular Season
OKC,GSW,2024-11-10,Paycom Center,Oklahoma City,OK,Regular Season
DEN,DAL,2024-11-10,Ball Arena,Denver,CO,Regular Season
PHO,SAC,2024-11-10,Footprint Center,Phoenix,AZ,Regular Season
POR,MEM,2024-11-10,Moda Center,Portland,OR,Regular Season
LAL,TOR,2024-11-10,Crypto.com Arena,Los Angeles,CA,Regular Season
CHI,CLE,2024-11-11,United Center,Chicago,IL,Regular Season
HOU,WAS,2024-11-11,Toyota Center,Houston,TX,Regular Season
NOP,BRK,2024-11-11,Smoothie King Center,New Orleans,LA,Regular Season
OKC,LAC,2024-11-11,Paycom Center,Oklahoma City,OK,Regular Season
SAS,SAC,2024-11-11,Frost Bank Center,San Antonio,TX,Regular Season
BOS,ATL,2024-11-12,TD Garden,Boston,MA,Emirates NBA Cup
DET,MIA,2024-11-12,Little Caesars Arena,Detroit,MI,Emirates NBA Cup
ORL,CHO,2024-11-12,Kia Center,Orlando,FL,Emirates NBA Cup
PHI,NYK,2024-11-12,Wells Fargo Center,Philadelphia,PA,Emirates NBA Cup
MIL,TOR,2024-11-12,Fiserv Forum,Milwaukee,WI,Emirates NBA Cup
UTA,PHO,2024-11-12,Delta Center,Salt Lake City,UT,Emirates NBA Cup
GSW,DAL,2024-11-12,Chase Center,San Francisco,CA,Emirates NBA Cup
POR,MIN,2024-11-12,Moda Center,Portland,OR,Emirates NBA Cup
ORL,IND,2024-11-13,Kia Center,Orlando,FL,Regular Season
BRK,BOS,2024-11-13,Barclays Center,Brooklyn,NY,Regular Season
NYK,CHI,2024-11-13,Madison Square Garden,New York,NY,Regular Season
PHI,CLE,2024-11-13,Wells Fargo Center,Philadelphia,PA,Regular Season
OKC,NOP,2024-11-13,Paycom Center,Oklahoma City,OK,Regular Season
HOU,LAC,2024-11-13,Toyota Center,Houston,TX,Regular Season
MIL,DET,2024-11-13,Fiserv Forum,Milwaukee,WI,Regular Season
SAS,WAS,2024-11-13,Frost Bank Center,San Antonio,TX,Regular Season
LAL,MEM,2024-11-13,Crypto.com Arena,Los Angeles,CA,Regular Season
POR,MIN,2024-11-13,Moda Center,Portland,OR,Regular Season
SAC,PHO,2024-11-13,Golden 1 Center,Sacramento,CA,Regular Season
UTA,DAL,2024-11-14,Delta Center,Salt Lake City,UT,Regular Season
IND,MIA,2024-11-15,Gainbridge Fieldhouse,Indianapolis,IN,Emirates NBA Cup
ORL,PHI,2024-11-15,Kia Center,Orlando,FL,Emirates NBA Cup
TOR,DET,2024-11-15,Scotiabank Arena,Toronto,ON,Emirates NBA Cup
ATL,WAS,2024-11-15,State Farm Arena,Atlanta,GA,Emirates NBA Cup
CLE,CHI,2024-11-15,Rocket Mortgage FieldHouse,Cleveland,OH,Emirates NBA Cup
NYK,BRK,2024-11-15,Madison Square Garden,New York,NY,Emirates NBA Cup
SAS,LAL,2024-11-15,Frost Bank Center,San Antonio,TX,Emirates NBA Cup
HOU,LAC,2024-11-15,Toyota Center,Houston,TX,Emirates NBA Cup
NOP,DEN,2024-11-15,Smoothie King Center,New Orleans,LA,Emirates NBA Cup
OKC,PHO,2024-11-15,Paycom Center,Oklahoma City,OK,Emirates NBA Cup
GSW,MEM,2024-11-15,Chase Center,San Francisco,CA,Emirates NBA Cup
SAC,MIN,2024-11-15,Golden 1 Center,Sacramento,CA,Emirates NBA Cup
CHO,MIL,2024-11-16,Spectrum Center,Charlotte,NC,Regular Season
BOS,TOR,2024-11-16,TD Garden,Boston,MA,Regular Season
NOP,LAL,2024-11-16,Smoothie King Center,New Orleans,LA,Regular Season
DAL,SAS,2024-11-16,American Airlines Center,Dallas,TX,Regular Season
SAC,UTA,2024-11-16,Golden 1 Center,Sacramento,CA,Regular Season
MIN,PHO,2024-11-17,Target Center,Minneapolis,MN,Regular Season
IND,MIA,2024-11-17,Gainbridge Fieldhouse,Indianapolis,IN,Regular Season
CLE,CHO,2024-11-17,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
WAS,DET,2024-11-17,Capital One Arena,Washington,DC,Regular Season
MEM,DEN,2024-11-17,FedExForum,Memphis,TN,Regular Season
POR,ATL,2024-11-17,Moda Center,Portland,OR,Regular Season
NYK,BRK,2024-11-17,Madison Square Garden,New York,NY,Regular Season
CHI,HOU,2024-11-17,United Center,Chicago,IL,Regular Season
OKC,DAL,2024-11-17,Paycom Center,Oklahoma City,OK,Regular Season
LAC,UTA,2024-11-17,Intuit Dome,Inglewood,CA,Regular Season
DET,CHI,2024-11-18,Little Caesars Arena,Detroit,MI,Regular Season
MIA,PHI,2024-11-18,Kaseya Center,Miami,FL,Regular Season
NYK,WAS,2024-11-18,Madison Square Garden,New York,NY,Regular Season
TOR,IND,2024-11-18,Scotiabank Arena,Toronto,ON,Regular Season
MIL,HOU,2024-11-18,Fiserv Forum,Milwaukee,WI,Regular Season
PHO,ORL,2024-11-18,Footprint Center,Phoenix,AZ,Regular Season
SAC,ATL,2024-11-18,Golden 1 Center,Sacramento,CA,Regular Season
LAC,GSW,2024-11-18,Intuit Dome,Inglewood,CA,Regular Season
BOS,CLE,2024-11-19,TD Garden,Boston,MA,Emirates NBA Cup
BRK,CHO,2024-11-19,Barclays Center,Brooklyn,NY,Emirates NBA Cup
MEM,DEN,2024-11-19,FedExForum,Memphis,TN,Emirates NBA Cup
DAL,NOP,2024-11-19,American Airlines Center,Dallas,TX,Emirates NBA Cup
SAS,OKC,2024-11-19,Frost Bank Center,San Antonio,TX,Emirates NBA Cup
LAL,UTA,2024-11-19,Crypto.com Arena,Los Angeles,CA,Emirates NBA Cup
CLE,NOP,2024-11-20,Rocket Mortgage FieldHouse,Cleveland,OH,Regular Season
MIL,CHI,2024-11-20,Fiserv Forum,Milwaukee,WI,Regular Season
HOU,IND,2024-11-20,Toyota Center,Houston,TX,Regular Season
MEM,PHI,2024-11-20,FedExForum,Memphis,TN,Regular Season
OKC,POR,2024-11-20,Paycom Center,Oklahoma City,OK,Regular Season
PHO,NYK,2024-11-20,Footprint Center,Phoenix,AZ,Regular Season
GSW,ATL,2024-11-20,Chase Center,San Francisco,CA,Regular Season
LAC,ORL,2024-11-20,Intuit Dome,Inglewood,CA,Regular Season
CHO,DET,2024-11-21,Spectrum Center,Charlotte,NC,Regular Season
TOR,MIN,2024-11-21,Scotiabank Arena,Toronto,ON,Regular Season
SAS,UTA,2024-11-21,Frost Bank Center,San Antonio,TX,Regular Season
LAL,ORL,2024-11-21,Crypto.com Arena,Los Angeles,CA,Regular Season
PHI,BRK,2024-11-22,Wells Fargo Center,Philadelphia,PA,Emirates NBA Cup
WAS,BOS,2024-11-22,Capital One Arena,Washington,DC,Emirates NBA Cup
MIL,IND,2024-11-22,Fiserv Forum,Milwaukee,WI,Emirates NBA Cup
CHI,ATL,2024-11-22,United Center,Chicago,IL,Emirates NBA Cup
